station;x;y;element;value;anomaly;anom_type
MR0027;281194;7923429;Li (ppm);1.6720978579357175;1.542043085400365;2
BM-0132;249709;7955769;LREE (ppm);2.783331762887424;2.5548149330846828;2
AC0010A;248844;7929813;LREE (ppm);2.6631164485843764;2.5548149330846828;2
AC0011;253225;7928084;LREE (ppm);2.7231846665539323;2.5548149330846828;2
BM0003;252802;7919756;LREE (ppm);2.6962515162374943;2.5548149330846828;2
BM0004;254903;7918476;LREE (ppm);2.874284629918016;2.5548149330846828;2
BM0006;245337;7918255;LREE (ppm);2.560659705949802;2.5548149330846828;2
BM0007;241739;7921617;LREE (ppm);2.8505972288095207;2.5548149330846828;2
BM0016;252174;7901917;LREE (ppm);2.694166295933198;2.5548149330846828;2
BM0018;238864;7903218;LREE (ppm);2.8196426276186264;2.5548149330846828;2
BM0021;261042;7914599;LREE (ppm);3.04117153348769;2.983790902174362;1
BM0030A;243046;7927051;LREE (ppm);3.041964787263496;2.983790902174362;1
BM0031;243702;7927471;LREE (ppm);2.607337050667031;2.5548149330846828;2
BM0032;242429;7931225;LREE (ppm);2.6408489906785673;2.5548149330846828;2
BM0034;238520;7933787;LREE (ppm);2.6047119317276204;2.5548149330846828;2
BM0035;239153;7934874;LREE (ppm);2.6551288264200963;2.5548149330846828;2
BM0037;239315;7939839;LREE (ppm);2.712135987775322;2.5548149330846828;2
BM0040A;240572;7939356;LREE (ppm);2.817638076400336;2.5548149330846828;2
BM0041;239517;7938890;LREE (ppm);2.7501379680904683;2.5548149330846828;2
BM0043;239721;7941627;LREE (ppm);2.6665741356934505;2.5548149330846828;2
BM0046;237579;7945520;LREE (ppm);2.9128966290530487;2.5548149330846828;2
BM0047;238999;7945316;LREE (ppm);2.677543081188368;2.5548149330846828;2
BM0048;239031;7942886;LREE (ppm);2.561172964752188;2.5548149330846828;2
BM0049;238279;7946291;LREE (ppm);2.6570367205201815;2.5548149330846828;2
BM0050A;236447;7950407;LREE (ppm);2.6451667268398635;2.5548149330846828;2
BM0052;240311;7950776;LREE (ppm);2.655186473579409;2.5548149330846828;2
ED0060A;254483;7927400;LREE (ppm);2.6626256349822155;2.5548149330846828;2
MR0011;264649;7902055;LREE (ppm);2.5820974684689872;2.5548149330846828;2
MR0040A;247651;7951307;LREE (ppm);2.594348345125055;2.5548149330846828;2
MR0042;247572;7950115;LREE (ppm);2.5660012108277144;2.5548149330846828;2
MR0048;247351;7945523;LREE (ppm);2.602559143024904;2.5548149330846828;2
AC-0053;309060;7900408;LREE (ppm);2.843170464519898;2.5548149330846828;2
MR-0209;304352;7911327;LREE (ppm);2.66958648722742;2.5548149330846828;2
SM-0150A;298245;7899098;LREE (ppm);2.5933746895045733;2.5548149330846828;2
SQ-0020A;339604;7952821;LREE (ppm);2.6411963905500575;2.5548149330846828;2
SQ-0021;337232;7952778;LREE (ppm);2.6944823507977276;2.5548149330846828;2
TC-0026;262815;7977271;Mo (ppm);0.8286598965353198;0.8090725602294653;2
JL-0020A;302519;7961098;Mo (ppm);0.8893017025063104;0.8090725602294653;2
SM-0075;334702;7969764;Mo (ppm);0.8239087409443188;0.8090725602294653;2
AC-0060A;292856;7934772;Mo (ppm);0.9339931638312423;0.8090725602294653;2
AC-0068;295199;7933566;Mo (ppm);0.8254261177678232;0.8090725602294653;2
AC-0070A;294020;7950512;Mo (ppm);0.9595183769729982;0.8090725602294653;2
BM-0179;319960;7940118;Mo (ppm);0.9754318085092629;0.8090725602294653;2
BM-0183;316955;7947324;Mo (ppm);0.8744818176994664;0.8090725602294653;2
BM-0185;314548;7951831;Mo (ppm);0.8312296938670634;0.8090725602294653;2
BM-0186;322567;7948285;Mo (ppm);0.8887409606828927;0.8090725602294653;2
BM-0188;324722;7952004;Mo (ppm);0.8318697742805017;0.8090725602294653;2
BM-0195;317408;7943768;Mo (ppm);0.9599948383284161;0.8090725602294653;2
BM-0197;315875;7941469;Mo (ppm);0.8524799936368563;0.8090725602294653;2
EC-0140A;306047;7943567;Mo (ppm);1.04296907339318;0.8090725602294653;2
EC-0142;299100;7945999;Mo (ppm);1.215373152783422;0.8090725602294653;2
JR-0010A;293300;7948800;Mo (ppm);1.0098756337121602;0.8090725602294653;2
JR-0015;292008;7951040;Mo (ppm);0.8388490907372553;0.8090725602294653;2
JR-0025;293450;7948550;Mo (ppm);0.8662873390841949;0.8090725602294653;2
BM0005;249783;7918292;Nb (ppm);1.0484418035504044;0.9661714121624068;2
BM0037;239315;7939839;Nb (ppm);1.1696744340588068;0.9661714121624068;2
ED0001;264540;7929243;Nb (ppm);1.0136796972911926;0.9661714121624068;2
AC-0048;314578;7908161;Nb (ppm);1.0614524790871933;0.9661714121624068;2
AC-0050A;314543;7905339;Nb (ppm);0.9912260756924949;0.9661714121624068;2
AC-0052;310238;7898780;Nb (ppm);1.3147096929551738;0.9661714121624068;2
AC-0053;309060;7900408;Nb (ppm);1.1146109842321732;0.9661714121624068;2
AC-0054;308226;7898727;Nb (ppm);1.1734776434529945;0.9661714121624068;2
JR-0012;316181;7911430;Nb (ppm);1.0207754881935578;0.9661714121624068;2
MR-0210A;305888;7907352;Nb (ppm);1.3364597338485296;0.9661714121624068;2
SM-0107;251216;7962685;Ni (ppm);2.442636525782232;2.0386362902033652;2
SM-0076;335692;7960900;Ni (ppm);2.1179338350396413;2.0386362902033652;2
SM-0083;339758;7955762;Ni (ppm);2.1136091510730277;2.0386362902033652;2
BM0028;236767;7925246;Ni (ppm);2.11293997608408;2.0386362902033652;2
AC-0043;309209;7916627;Ni (ppm);2.116939646550756;2.0386362902033652;2
AC-0045;312312;7916103;Ni (ppm);2.0780941504064105;2.0386362902033652;2
AC-0046;309915;7913907;Ni (ppm);2.1322596895310446;2.0386362902033652;2
AC-0048;314578;7908161;Ni (ppm);2.543322900646912;2.0386362902033652;2
AC-0050A;314543;7905339;Ni (ppm);2.187802638718419;2.0386362902033652;2
LG-0033;315790;7904888;Ni (ppm);2.0813473078041325;2.0386362902033652;2
MR-0207;308152;7915221;Ni (ppm);2.7693773260761385;2.6209065472776873;1
MR-0208;305455;7913164;Ni (ppm);3.108835527934606;2.6209065472776873;1
MR-0209;304352;7911327;Ni (ppm);3.194514341882467;2.6209065472776873;1
MR-0210A;305888;7907352;Ni (ppm);2.074450718954591;2.0386362902033652;2
MR-0211;305520;7915678;Ni (ppm);2.17260293120986;2.0386362902033652;2
MR-0212;307288;7917333;Ni (ppm);2.133858125203335;2.0386362902033652;2
SM-0151;299434;7900851;Ni (ppm);2.143327129992046;2.0386362902033652;2
SQ-0020A;339604;7952821;Ni (ppm);2.370698092575577;2.0386362902033652;2
SQ-0021;337232;7952778;Ni (ppm);2.311541958401195;2.0386362902033652;2
SQ-0024;335287;7949753;Ni (ppm);2.1455071714096627;2.0386362902033652;2
SQ-0030A;332271;7947548;Ni (ppm);2.142389466118836;2.0386362902033652;2
SM-0107;251216;7962685;P (ppm);3.4235735197327357;3.265029356456176;2
BM-0094;298561;7973379;P (ppm);4.0;3.802517455883796;1
BM-0095;299519;7976083;P (ppm);3.591509808994654;3.265029356456176;2
BM-0099;297592;7971938;P (ppm);3.8304603500309673;3.802517455883796;1
BM-0100A;299294;7973356;P (ppm);3.4099331233312946;3.265029356456176;2
BM-0105;299276;7970051;P (ppm);3.3136563466180315;3.265029356456176;2
MR-0136;292342;7966917;P (ppm);3.27207378750001;3.265029356456176;2
MR-0137;292331;7966057;P (ppm);3.8147801457458046;3.802517455883796;1
SM-0080A;337500;7955475;P (ppm);3.2697463731307668;3.265029356456176;2
SM-0083;339758;7955762;P (ppm);3.374748346010104;3.265029356456176;2
AC-0053;309060;7900408;P (ppm);3.9202798946329485;3.802517455883796;1
AC-0054;308226;7898727;P (ppm);3.459543258280413;3.265029356456176;2
MR-0207;308152;7915221;P (ppm);3.3654879848909;3.265029356456176;2
MR-0210A;305888;7907352;P (ppm);3.3780343224573315;3.265029356456176;2
SM-0174;312050;7949144;P (ppm);3.3119656603683665;3.265029356456176;2
SQ-0018;339477;7948268;P (ppm);3.436639631692661;3.265029356456176;2
SQ-0020A;339604;7952821;P (ppm);3.4263485737875077;3.265029356456176;2
SQ-0021;337232;7952778;P (ppm);3.5499836111596887;3.265029356456176;2
SQ-0024;335287;7949753;P (ppm);3.447623097760286;3.265029356456176;2
SQ-0030A;332271;7947548;P (ppm);3.351409751925439;3.265029356456176;2
MR-0213;316437;7932128;Pb (ppm);1.8375884382355112;1.835593023584889;2
MR-0214;315478;7932620;Pb (ppm);1.909020854211156;1.835593023584889;2
SQ-0026;335904;7946921;Pb (ppm);1.8506462351830666;1.835593023584889;2
SQ-0028;339148;7936874;Pb (ppm);2.0277572046905536;1.835593023584889;2
SQ-0029;336332;7935842;Pb (ppm);2.102433705681336;1.835593023584889;2
AC0013;250662;7930506;Rb (ppm);1.9786369483844743;1.7583219139004318;2
AC0014;248985;7934608;Rb (ppm);1.9532763366673043;1.7583219139004318;2
AC0017;250877;7928358;Rb (ppm);1.7596678446896306;1.7583219139004318;2
AC0018;250334;7937722;Rb (ppm);1.7611758131557314;1.7583219139004318;2
BM0009;253632;7913569;Rb (ppm);1.9556877503135057;1.7583219139004318;2
BM0029;245062;7927510;Rb (ppm);1.9237619608287002;1.7583219139004318;2
BM0030A;243046;7927051;Rb (ppm);1.845098040014257;1.7583219139004318;2
BM0032;242429;7931225;Rb (ppm);1.9772662124272926;1.7583219139004318;2
BM0033;241321;7933076;Rb (ppm);1.816241299991783;1.7583219139004318;2
BM0035;239153;7934874;Rb (ppm);1.8842287696326039;1.7583219139004318;2
BM0037;239315;7939839;Rb (ppm);1.761927838420529;1.7583219139004318;2
BM0040A;240572;7939356;Rb (ppm);1.974971994298069;1.7583219139004318;2
BM0043;239721;7941627;Rb (ppm);2.052693941924968;1.7583219139004318;2
BM0045;236437;7942120;Rb (ppm);1.932980821923198;1.7583219139004318;2
BM0050A;236447;7950407;Rb (ppm);1.8007170782823851;1.7583219139004318;2
BM0053;238116;7950915;Rb (ppm);1.7986506454452689;1.7583219139004318;2
ED0045;263830;7947382;Rb (ppm);1.9881128402683519;1.7583219139004318;2
MR0040A;247651;7951307;Rb (ppm);1.7752462597402365;1.7583219139004318;2
MR0051;251986;7941421;Rb (ppm);1.8247764624755456;1.7583219139004318;2
MR0052;250453;7941655;Rb (ppm);1.9434945159061026;1.7583219139004318;2
MR0053;250989;7940893;Rb (ppm);1.9148718175400503;1.7583219139004318;2
SM-0117;252407;7973996;Sb (ppm);1.2218487496163564;1.099585342118682;2
BM-0137;241399;7962867;Sc (ppm);1.541579243946581;1.5279280858775186;2
SM-0107;251216;7962685;Sc (ppm);1.5658478186735176;1.5279280858775186;2
BM0028;236767;7925246;Sc (ppm);1.7745169657285496;1.5279280858775186;2
ED0059;259665;7935335;Sc (ppm);1.649334858712142;1.5279280858775186;2
MR0046;253953;7945025;Sc (ppm);1.6374897295125106;1.5279280858775186;2
BM0014;238782;7911968;Sn (ppm);0.9084850188786497;0.7106916825434311;2
BM0016;252174;7901917;Sn (ppm);0.7403626894942439;0.7106916825434311;2
BM0018;238864;7903218;Sn (ppm);0.8129133566428556;0.7106916825434311;2
BM0028;236767;7925246;Sn (ppm);0.8512583487190752;0.7106916825434311;2
BM0030A;243046;7927051;Sn (ppm);0.785329835010767;0.7106916825434311;2
BM0044;239969;7942981;Sn (ppm);0.7160033436347992;0.7106916825434311;2
ED0011;238920;7928652;Sn (ppm);0.7323937598229685;0.7106916825434311;2
MR0019;276257;7918803;Sn (ppm);0.9731278535996987;0.7106916825434311;2
AC-0054;308226;7898727;Sn (ppm);0.7481880270062005;0.7106916825434311;2
MR-0205;302787;7919592;Sn (ppm);1.0969100130080565;1.078960684264656;1
MR-0207;308152;7915221;Sn (ppm);1.546542663478131;1.078960684264656;1
MR-0210A;305888;7907352;Sn (ppm);1.0170333392987803;0.7106916825434311;2
BM-0094;298561;7973379;Sr (ppm);2.4387005329007363;1.8403335173102888;2
